Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-81rl,checkpoint-ciwr,checkpoint-77l8,checkpoint-x76j,checkpoint-b2g1,checkpoint-5gtg,checkpoint-dxsu,checkpoint-w6lf,checkpoint-hoqr,checkpoint-miih,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Diagram Box Rows,Diagram Box Require Response,TextTypes,ToetsTextArea,"# Xof6Trials

Your body text here."
1,1670833248693,12/12/2022 08:20:48,1670833248584,1,12/12/2022 09:20:48,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1670833255143,12/12/2022 08:20:55,1670833255091,1,12/12/2022 09:20:55,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,1,1,1,Intro3Texts,NextButton,continue_button,6447.20000000298,,,,,0,1,0,,,,,,IntroTexts,,,,,,
3,1670833302916,12/12/2022 08:21:42,1670833302852,1,12/12/2022 09:21:42,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,10,1,1,Text,advancementZone,continue_button,47727.29999999702,,,,,0,1,0,,,,2,,BetonText,,,,,,
4,1670833358383,12/12/2022 08:22:38,1670833358325,1,12/12/2022 09:22:38,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,11,1,1,Diagramming,DiagBox2,response_text_area,55448.09999999404,,,je hebt een certificaat nodig om ermee te bouwen,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
5,1670833358858,12/12/2022 08:22:38,1670833358327,1,12/12/2022 09:22:38,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,11,1,1,Diagramming,DiagBox3,response_text_area,55448.09999999404,,,door centrale verwarming krimpt beton,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
6,1670833358858,12/12/2022 08:22:38,1670833358327,1,12/12/2022 09:22:38,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,11,1,1,Diagramming,DiagBox4,response_text_area,55448.09999999404,,,?,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
7,1670833358858,12/12/2022 08:22:38,1670833358327,1,12/12/2022 09:22:38,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,11,1,1,Diagramming,DiagBox1,response_text_area,55448.09999999404,,,beton is een belangerijk bouwmiddel,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
8,1670833358858,12/12/2022 08:22:38,1670833358328,1,12/12/2022 09:22:38,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,11,1,1,Diagramming,Zone1,continue_button,55448.09999999404,,,,,0,1,0,,,,2,,BetonDiagramCompletion,,5,,,,
9,1670833382527,12/12/2022 08:23:02,1670833381253,1,12/12/2022 09:23:01,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,12,1,1,DiagramStudySS,CueSelection1,response_dropdown,22917.097999999984,,,Ingevuld maar onjuist,,0,1,0,,,,2,,BetonDiagramStudySS,,,,,,
10,1670833382603,12/12/2022 08:23:02,1670833381255,1,12/12/2022 09:23:01,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,12,1,1,DiagramStudySS,CueSelection2,response_dropdown,22917.097999999984,,,Ingevuld maar onjuist,,0,1,0,,,,2,,BetonDiagramStudySS,,,,,,
11,1670833382603,12/12/2022 08:23:02,1670833381255,1,12/12/2022 09:23:01,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,12,1,1,DiagramStudySS,CueSelection3,response_dropdown,22917.097999999984,,,Ingevuld maar onjuist,,0,1,0,,,,2,,BetonDiagramStudySS,,,,,,
12,1670833382603,12/12/2022 08:23:02,1670833381256,1,12/12/2022 09:23:01,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,12,1,1,DiagramStudySS,CueSelection4,response_dropdown,22917.097999999984,,,Niet ingevuld,,0,1,0,,,,2,,BetonDiagramStudySS,,,,,,
13,1670833382603,12/12/2022 08:23:02,1670833381256,1,12/12/2022 09:23:01,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,12,1,1,DiagramStudySS,script,force_advance,22917.097999999984,,,,,0,1,0,,,,2,,BetonDiagramStudySS,,,,,,
14,1670833385383,12/12/2022 08:23:05,1670833385339,1,12/12/2022 09:23:05,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,13,1,1,RestudyDecision,Selection1,response_dropdown,4099.595000000001,,,Ja,,0,1,0,,,,2,,RestudyDecisionText1,,,,,,
15,1670833385546,12/12/2022 08:23:05,1670833385340,1,12/12/2022 09:23:05,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,13,1,1,RestudyDecision,script,force_advance,4099.595000000001,,,,,0,1,0,,,,2,,RestudyDecisionText1,,,,,,
16,1670833386934,12/12/2022 08:23:06,1670833386884,1,12/12/2022 09:23:06,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,14,1,1,JoL,One,response_button_text,1528.0999999940395,,,1,1,0,1,0,,,,2,,BetonJoL,,,,,,
17,1670833388016,12/12/2022 08:23:08,1670833387955,1,12/12/2022 09:23:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,15,1,1,IntroTest,ContinueButton,continue_button,1057.7000000029802,,,,,0,1,0,,,,2,,BetonIntroTest,,,,,,
18,1670833435201,12/12/2022 08:23:55,1670833435133,1,12/12/2022 09:23:55,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,16,1,1,Test,buttonA,response_text_area,47163.5,,,"de lift schachten worden kleiner 
de lift kan vast komen te zitten
?
?",,0,1,0,,,,2,,BetonTest,,,,,8,
19,1670833435587,12/12/2022 08:23:55,1670833435135,1,12/12/2022 09:23:55,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,16,1,1,Test,buttonB,continue_button,47163.5,,,,,0,1,0,,,,2,,BetonTest,,,,,8,
20,1670833440097,12/12/2022 08:24:00,1670833440045,1,12/12/2022 09:24:00,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,9,1,1,Notification,ContinueButton,continue_button,4894.20000000298,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>1 van 6</b></p></center>"
21,1670833490877,12/12/2022 08:24:50,1670833490821,1,12/12/2022 09:24:50,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,34,1,1,Text,advancementZone,continue_button,50735.70000000298,,,,,0,1,0,,,,5,,GeldText,,,,,,
22,1670833556322,12/12/2022 08:25:56,1670833556248,1,12/12/2022 09:25:56,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,35,1,1,Diagramming,DiagBox2,response_text_area,65408.70000000298,,,ze gevn veel geld weg,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
23,1670833556463,12/12/2022 08:25:56,1670833556250,1,12/12/2022 09:25:56,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,35,1,1,Diagramming,DiagBox3,response_text_area,65408.70000000298,,,mensen kopen veel dure dingen,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
24,1670833556463,12/12/2022 08:25:56,1670833556250,1,12/12/2022 09:25:56,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,35,1,1,Diagramming,DiagBox4,response_text_area,65408.70000000298,,,?,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
25,1670833556463,12/12/2022 08:25:56,1670833556250,1,12/12/2022 09:25:56,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,35,1,1,Diagramming,DiagBox1,response_text_area,65408.70000000298,,,je wint de loterij,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
26,1670833556463,12/12/2022 08:25:56,1670833556250,1,12/12/2022 09:25:56,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,35,1,1,Diagramming,Zone1,continue_button,65408.70000000298,,,,,0,1,0,,,,5,,GeldDiagramCompletion,,5,,,,
27,1670833567807,12/12/2022 08:26:07,1670833567745,1,12/12/2022 09:26:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,36,1,1,DiagramStudySS,CueSelection1,response_dropdown,11499.827000000048,,,Ingevuld maar onjuist,,0,1,0,,,,5,,GeldDiagramStudySS,,,,,,
28,1670833567891,12/12/2022 08:26:07,1670833567747,1,12/12/2022 09:26:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,36,1,1,DiagramStudySS,CueSelection2,response_dropdown,11499.827000000048,,,Ingevuld maar onjuist,,0,1,0,,,,5,,GeldDiagramStudySS,,,,,,
29,1670833567891,12/12/2022 08:26:07,1670833567747,1,12/12/2022 09:26:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,36,1,1,DiagramStudySS,CueSelection3,response_dropdown,11499.827000000048,,,Juist,,0,1,0,,,,5,,GeldDiagramStudySS,,,,,,
30,1670833567891,12/12/2022 08:26:07,1670833567747,1,12/12/2022 09:26:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,36,1,1,DiagramStudySS,CueSelection4,response_dropdown,11499.827000000048,,,Niet ingevuld,,0,1,0,,,,5,,GeldDiagramStudySS,,,,,,
31,1670833567891,12/12/2022 08:26:07,1670833567747,1,12/12/2022 09:26:07,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,36,1,1,DiagramStudySS,script,force_advance,11499.827000000048,,,,,0,1,0,,,,5,,GeldDiagramStudySS,,,,,,
32,1670833570449,12/12/2022 08:26:10,1670833570396,1,12/12/2022 09:26:10,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,37,1,1,RestudyDecision,Selection1,response_dropdown,2650.170999999973,,,Ja,,0,1,0,,,,5,,RestudyDecisionText2,,,,,,
33,1670833570845,12/12/2022 08:26:10,1670833570397,1,12/12/2022 09:26:10,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,37,1,1,RestudyDecision,script,force_advance,2650.170999999973,,,,,0,1,0,,,,5,,RestudyDecisionText2,,,,,,
34,1670833572125,12/12/2022 08:26:12,1670833572085,1,12/12/2022 09:26:12,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,38,1,1,JoL,Two,response_button_text,1672.7000000029802,,,2,1,0,1,0,,,,5,,GeldJoL,,,,,,
35,1670833573322,12/12/2022 08:26:13,1670833573268,1,12/12/2022 09:26:13,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,39,1,1,IntroTest,ContinueButton,continue_button,1171.5,,,,,0,1,0,,,,5,,GeldIntroTest,,,,,,
36,1670833612726,12/12/2022 08:26:52,1670833612669,1,12/12/2022 09:26:52,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,40,1,1,Test,buttonA,response_text_area,39387.29999999702,,,"ze raken gewend aan de luxe
ze weten niet meer wat ze met hun geld moeten doen
ze kopen veel luxe
?",,0,1,0,,,,5,,GeldTest,,,,,8,
37,1670833613227,12/12/2022 08:26:53,1670833612670,1,12/12/2022 09:26:52,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,40,1,1,Test,buttonB,continue_button,39387.29999999702,,,,,0,1,0,,,,5,,GeldTest,,,,,8,
38,1670833614461,12/12/2022 08:26:54,1670833614404,1,12/12/2022 09:26:54,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,17,2,1,Notification,ContinueButton,continue_button,1717.5999999940395,,,,,0,1,0,,,,,,InBetweenScreen,,,,,,"<center><p style=""font-size:30px""><b>2 van 6</b></p></center>"
39,1670833650442,12/12/2022 08:27:30,1670833650388,1,12/12/2022 09:27:30,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,18,1,1,Text,advancementZone,continue_button,35963.5,,,,,0,1,0,,,,3,,MuziekText,,,,,,
40,1670833707935,12/12/2022 08:28:27,1670833707885,1,12/12/2022 09:28:27,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,19,1,1,Diagramming,DiagBox1,response_text_area,57477.40000000596,,,het helpt je hersenen,,0,1,0,,,,3,,MuziekDiagramCompletion,,5,,,,
41,1670833708110,12/12/2022 08:28:28,1670833707887,1,12/12/2022 09:28:27,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,19,1,1,Diagramming,DiagBox2,response_text_area,57477.40000000596,,,je haalt hoger op een IQ test ,,0,1,0,,,,3,,MuziekDiagramCompletion,,5,,,,
42,1670833708110,12/12/2022 08:28:28,1670833707887,1,12/12/2022 09:28:27,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,19,1,1,Diagramming,DiagBox3,response_text_area,57477.40000000596,,,het werkt tegen de ziekt Alzheimer,,0,1,0,,,,3,,MuziekDiagramCompletion,,5,,,,
43,1670833708110,12/12/2022 08:28:28,1670833707887,1,12/12/2022 09:28:27,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,19,1,1,Diagramming,DiagBox4,response_text_area,57477.40000000596,,,je ontwikkelt verschillende gebieden van je hersenen,,0,1,0,,,,3,,MuziekDiagramCompletion,,5,,,,
44,1670833708110,12/12/2022 08:28:28,1670833707887,1,12/12/2022 09:28:27,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,19,1,1,Diagramming,Zone1,continue_button,57477.40000000596,,,,,0,1,0,,,,3,,MuziekDiagramCompletion,,5,,,,
45,1670833725889,12/12/2022 08:28:45,1670833725838,1,12/12/2022 09:28:45,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,20,1,1,DiagramStudySS,CueSelection1,response_dropdown,17950.00899999996,,,Ingevuld maar onjuist,,0,1,0,,,,3,,MuziekDiagramStudySS,,,,,,
46,1670833725960,12/12/2022 08:28:45,1670833725840,1,12/12/2022 09:28:45,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,20,1,1,DiagramStudySS,CueSelection2,response_dropdown,17950.00899999996,,,Juist,,0,1,0,,,,3,,MuziekDiagramStudySS,,,,,,
47,1670833725960,12/12/2022 08:28:45,1670833725840,1,12/12/2022 09:28:45,89483,9,task-axm2,,25868466,BLIND,7649910,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.5304.107,1536x864,1536x760,Passed_Trials,Study1.2 - ImmediateWithCueSelection,11,SelfScoringInstruction,Passed_Intro,,Passed_Trials,,Passed_Practice,,,,,ImmediateWithCueSelection,ImmediateWithCueSelection,20,1,1,DiagramStudySS,CueSelection3,response_dropdown,17950.00899999996,,,Juist,,0,1,0,,,,3,,MuziekDiagramStudySS,,,,,,
